"name","capital_city_name","capital_city_population","capital_city_area","longitude","latitude","mayor"
"Afghanistan","Kabul",3140853,275.0,34.52528,69.17833,"Hamdullah Nomani"
"Albania","Tirana",763634,41.8,41.32889,19.81778,"Toni Gogu"
"Algeria","Algiers",3415811,363.0,36.75389,3.05889,"Abdelkader Seyouda"
"Andorra","Andorra la Vella",22884,12.0,42.5,1.5,"Conxita Marsol"
"Angola","Luanda",2453779,116.0,-8.83833,13.23444,"NULL"
"Antigua and Barbuda","St. John's",22679,10.0,17.117,-61.85,"NULL"
"Argentina","Buenos Aires",2891082,203.0,-34.60333,-58.38167,"Horacio Rodríguez Larreta"
"Armenia","Yerevan",1080487,223.0,40.18139,44.51444,"Hayk Marutyan"
"Australia","Canberra",410301,814.2,-35.29306,149.12694,"NULL"
"Austria","Vienna",1749673,414.78,48.2,16.367,"Michael Ludwig"
"Azerbaijan","Baku",2204200,2140.0,40.39528,49.88222,"Eldar Azizov"
"Bahrain","Manama",140616,30.0,26.225,50.5775,"Hamad bin Isa Al Khalifa"
"Bangladesh","Dhaka",8906039,306.0,23.76389,90.38889,"Atiqul Islam"
"Barbados","Bridgetown",110000,40.0,13.0975,-59.61667,"NULL"
"Belarus","Minsk",1702061,409.5,53.9,27.567,"Vladimir Kukharev"
"Belgium","Brussels",148873,32.61,50.84667,4.3525,"Philippe Close"
"Belize","Belmopan",16451,32.78,17.25139,-88.76694,"Khalid Belisle"
"Benin","Porto-Novo",223552,110.0,6.49722,2.605,"Emmanuel Zossou"
"Bhutan","Thimphu",101259,26.1,27.47222,89.63611,"Ugyen Dorji"
"Bolivia","La Paz",766468,472.0,-16.5,-68.15,"Ivan Arias"
"Bosnia and Herzegovina","Sarajevo",395133,141.5,43.867,18.417,"Benjamina Kariæ"
"Botswana","Gaborone",225656,169.0,-24.65806,25.91222,"Thata Father Maphongo"
"Brazil","Brasília",2648532,5802.0,-15.79389,-47.88278,"NULL"
"Brunei","Bandar Seri Begawan",28135,100.36,4.89028,114.94222,"NULL"
"Bulgaria","Sofia",1277000,492.0,42.7,23.33,"Yordanka Fandakova"
"Burkina Faso","Ouagadougou",1005231,520.0,12.367,-1.533,"Armand Béouindé"
"Burundi","Gitega",41944,22.0,-3.433,29.9,"NULL"
"Cambodia","Phnom Penh",2011725,679.0,11.56944,104.92111,"Khuong Sreng"
"Cameroon","Yaoundé",2765568,180.0,3.867,11.517,"NULL"
"Canada","Ottawa",934243,2970.3,45.42472,-75.695,"Jim Watson"
"Cape Verde","Praia",125464,102.6,14.918,-23.509,"NULL"
"Central African Republic","Bangui",731548,67.0,4.37333,18.56278,"Emile Raymond Gros Nakombo"
"Chad","N'Djamena",751288,104.0,12.11,15.05,"NULL"
"Chile","Santiago",6310000,641.0,-33.45,-70.667,"Claudio Orrego Larraín"
"China","Beijing",21542000,4144.0,39.90667,116.3975,"Li Wei"
"Colombia","Bogotá",7181469,1587.0,4.71111,-74.07222,"Claudia López Hernández"
"Comoros","Moroni",60200,30.0,-11.699,43.256,"NULL"
"Costa Rica","San José",328195,44.62,9.933,-84.083,"Johnny Araya Monge"
"Croatia","Zagreb",804200,641.0,45.817,15.983,"Tomislav Toma¹eviæ"
"Cuba","Havana",2135498,728.26,23.13667,-82.35889,"Reinaldo García Zapata"
"Cyprus","Nicosia",270000,51.06,35.1725,33.365,"Constantinos Yiorkadjis"
"Czech Republic","Prague",1241664,496.0,50.083,14.417,"Zdenìk Høib"
"Democratic Republic of the Congo","Kinshasa",12691000,600.0,-4.325,15.32222,"Gentiny Ngobila Mbala"
"Denmark","Copenhagen",794128,179.8,55.67611,12.56833,"NULL"
"Djibouti","Djibouti",600000,26.0,11.58833,43.145,"Fatouma Awaleh Osman"
"Dominica","Roseau",14847,"NULL",15.301389,-61.388333,"Cecil Joseph"
"Dominican Republic","Santo Domingo",1111838,104.44,18.467,-69.95,"Carolina Mejía"
"East Timor","Dili",59069,48.27,-8.55361,125.57833,"NULL"
"Ecuador","Quito",1504991,372.39,-0.22,-78.5125,"Brith Vaca"
"Egypt","Cairo",9848576,3085.12,30.033,31.233,"Khaled Abdel Aal"
"El Salvador","San Salvador",521366,72.25,13.69889,-89.19139,"Mario Durán"
"Equatorial Guinea","Malabo",100677,21.0,3.7520639,8.7737,"NULL"
"Eritrea","Asmara",694000,45.0,15.32278,38.925,"Fshaye Haile"
"Estonia","Tallinn",440206,159.2,59.43722,24.74528,"Mihhail K?lvart"
"Eswatini","Mbabane",81594,81.76,-26.317,31.133,"Sikhumbuzo Dube"
"Ethiopia","Addis Ababa",3040740,527.0,9.03,38.74,"Adanech Abebe"
"Federated States of Micronesia","Palikir",9900,"NULL",6.91722,158.15889,"NULL"
"Fiji","Suva",84410,2048.0,-18.1416,178.4419,"NULL"
"Finland","Helsinki",635591,715.48,60.17083,24.9375,"Juhana Vartiainen"
"France","Paris",2241346,105.4,48.856613,2.352222,"Anne Hidalgo"
"Gabon","Libreville",556425,65.42,0.39028,9.45417,"NULL"
"Georgia","Tbilisi",1044993,504.2,41.7225,44.7925,"Kakha Kaladze"
"Germany","Berlin",3748148,891.1,52.52,13.405,"Michael Müller"
"Ghana","Accra",1640507,173.0,5.55,-0.2,"NULL"
"Greece","Athens",664046,38.964,37.98417,23.72806,"Kostas Bakoyannis"
"Grenada","St. George's",7500,"NULL",12.05,-61.75,"NULL"
"Guatemala","Guatemala City",2450212,220.0,14.61333,-90.53528,"Ricardo Qui?ónez Lemus"
"Guinea","Conakry",1399981,450.0,9.50917,-13.71222,"NULL"
"Guinea-Bissau","Bissau",452640,77.5,11.85,-15.567,"NULL"
"Guyana","Georgetown",134599,70.0,6.80111,-58.15528,"Ubraj Narine"
"Haiti","Port-au-Prince",1235227,36.04,18.533,-72.333,"Ralph Youri Chevry"
"Honduras","Tegucigalpa",735982,1502.0,14.1,-87.217,"Juan García"
"Hungary","Budapest",1729040,525.2,47.4925,19.05139,"Gergely Karácsony"
"Iceland","Reykjavík",115000,273.0,64.14667,-21.94,"NULL"
"India","New Delhi",257803,42.7,28.6138954,77.2090057,"NULL"
"Indonesia","Jakarta",10075310,662.3,-6.2,106.817,"Anies Baswedan"
"Iran","Tehran",8693706,1200.0,35.68917,51.38889,"Alireza Zakani"
"Iraq","Baghdad",6719500,673.0,33.333,44.383,"NULL"
"Israel","Tel Aviv",460613,52.0,32.067,34.783,"Ron Huldai"
"Italy","Rome",2873104,1285.0,41.883,12.5,"Roberto Gualtieri"
"Ivory Coast","Yamoussoukro",454929,3500.0,6.81611,-5.27417,"Augustin Abdoulaye Thiam Houphouët"
"Jamaica","Kingston",701063,480.0,17.97139,-76.79306,"Delroy Williams"
"Japan","Tokyo",13929286,2194.07,35.68972,139.69222,"Yuriko Koike"
"Jordan","Amman",2600603,1680.0,31.94972,35.93278,"NULL"
"Kazakhstan","Nur-Sultan",1029556,810.2,51.167,71.433,"NULL"
"Kenya","Nairobi",3138369,696.0,-1.28639,36.81722,"Anne Kananu Mwenda"
"Kiribati","South Tarawa",63439,15.76,1.433,173.0,"NULL"
"Kuwait","Kuwait City",1171880,200.0,29.36972,47.97833,"NULL"
"Kyrgyzstan","Bishkek",843240,169.9,42.87472,74.61222,"Aibek Dzhunushaliev"
"Laos","Vientiane",287579,130.0,17.967,102.6,"NULL"
"Latvia","Riga",713016,324.0,56.94889,24.10639,"M?rti?¹ Sta?is"
"Lebanon","Beirut",1574387,19.8,33.88694,35.51306,"NULL"
"Lesotho","Maseru",267652,138.0,-29.31,27.48,"NULL"
"Liberia","Monrovia",1010970,194.25,6.31333,-10.80139,"Jefferson T. Koijee"
"Libya","Tripoli",1184045,1507.0,32.88722,13.19139,"Abdulrauf Beitelmal"
"Liechtenstein","Vaduz",5248,17.3,47.141,9.521,"Manfred Bischof"
"Lithuania","Vilnius",556723,401.0,54.683,25.283,"Remigijus ©ima¹ius"
"Luxembourg","Luxembourg",124528,51.46,49.61167,6.13194,"Lydie Polfer"
"Madagascar","Antananarivo",1613375,88.0,-18.933,47.517,"Naina Andriantsitohaina"
"Malawi","Lilongwe",902388,727.79,-13.983,33.783,"Juliana Kaduya"
"Malaysia","Kuala Lumpur",1381830,243.0,3.14778,101.69528,"Mahadi bin Che Ngah"
"Maldives","Malé",103693,1.95,4.17528,73.50889,"Dr. Mohamed Muiz"
"Mali","Bamako",1289626,245.0,12.63917,-8.00278,"Adama Sangaré"
"Malta","Valletta",6444,0.61,35.89833,14.5125,"Alfred Zammit"
"Marshall Islands","Majuro",25400,9.7,7.083,171.383,"Ladie Jack"
