"name","continent","population","area","water_percentage","gdp_nominal","gdp_pp","legislature","head_of_state","driving_side","calling_code","currency","hdi","gini","date_assumed_office","covid_cases","covid_vaccinations"
"Afghanistan","Asia",32890171,652864.0,0.0,17876.0,83370.0,"National Assembly (??? ???? Mili Shura / ????? ??? Shura-e Milli)","Hibatullah Akhundzada","R","+93","Afghani (??????) (AFN)",0.511,"NULL","2021-08-19",156397.0,3398410.0
"Albania","Europe",2829741,28748.0,4.7,15278.0,43553.0,"Parliament (Kuvendi i Shqipërisë)","Ilir Meta","R","+355","Lek (ALL)",0.795,34.3,"2017-07-24",189125.0,1031588.0
"Algeria","Africa",44700000,2381741.0,0.0,171157.0,514748.0,"Parliament (????????, Parlement)","Abdelmadjid Tebboune","R","+213","Algerian dinar (DZD)",0.748,27.6,"2019-12-19",207156.0,6381144.0
"Andorra","Europe",78015,468.0,0.0,3154.0,"NULL","General Council (Consell General)","Joan Enric Vives i Sicília","R","+376","Euro (?)",0.868,27.21,"2003-05-12",15618.0,54312.0
"Angola","Africa",32097671,1246700.0,0.0,85000.0,219841.0,"National Assembly (Assembleia Nacional)","Jo?o Lourenço","R","+244","Kwanza (AOA)",0.581,51.3,"2017-09-26",64674.0,4846094.0
"Antigua and Barbuda","North America",99337,442.0,0.0,1661.0,1804.0,"Parliament","Elizabeth II","L","+1-268","East Caribbean dollar (XCD)",0.778,"NULL","1981-11-01",4091.0,56269.0
"Argentina","South America",45808747,2780400.0,1.57,449663.0,1015008.0,"National Congress of Argentina (Congreso de la Nación Argentina)","Alberto Fernández","R","+54","Argentine peso ($) (ARS)",0.845,42.9,"2019-12-10",5296781.0,35133377.0
"Armenia","Asia",2963900,29743.0,4.71,13672.0,40500.0,"National Assembly (??????? ????? Azgayin Zhoghov)","Armen Sarksyan","R","+374","Dram (?) (AMD)",0.776,29.9,"2018-04-09",320433.0,497971.0
"Australia","Oceania",25894232,7692024.0,0.76,1380207.0,1415564.0,"Parliament of Australia","Elizabeth II","L","+61","Australian dollar ($) (AUD)",0.944,32.5,"1952-02-06",181578.0,19303290.0
"Austria","Europe",8950544,83871.0,1.7,445075.0,517860.0,"Austrian Parliament","Alexander Van der Bellen","R","+43","Euro (?)",0.922,27.0,"2017-01-26",883887.0,5969251.0
"Azerbaijan","Asia",10139196,86600.0,0.13,48047.0,151866.0,"National Assembly (Milli M?clis)","Ilham Aliyev","R","+994","Manat (?) (AZN)",0.756,33.7,"2003-10-31",547281.0,5293969.0
"Bahrain","Asia",1501635,785.0,0.0,38574.0,77624.0,"National Assembly (?????? ??????)","Hamad bin Isa Al Khalifa","R","+973","Bahraini dinar (BHD)",0.852,"NULL","2002-02-14",277081.0,1181548.0
"Bangladesh","Asia",171657504,148460.0,9.6,317465.0,966485.0,"National Parliament (?????? ???? Jatiya Sangsad)","Abdul Hamid (politician)","L","+880","Taka (?) (BDT)",0.632,39.5,"2013-03-14",1571013.0,44688518.0
